p,h2,alpha,K,num,logistic,Method,jump_sign,use_mle,n_keep,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.01,-0.5,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,4,0.0001708,6.508e-05,0.0003156,0.000105,3.87e-05,0.0002018,0.002925,0.001412,0.004172,0.005696,0.001138,0.01208,,,
0.1,0.01,-0.5,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,4,0.000164,6.123e-05,0.0003306,0.0001402,4.22e-05,0.0003363,0.00307,0.001288,0.006246,0.008582,0.003408,0.02067,0.1989,-0.4656,0.5
0.1,0.01,-0.5,0.2,1,FALSE,SBayesS,,,,0.0001669,6.543e-05,0.0003171,0.0001598,9.381e-05,0.0002373,0.003457,0.002999,0.004277,0.06051,0.04924,0.07635,-0.4298,-0.498,-0.1206
0.1,0.01,-0.5,0.2,1,FALSE,LDSc,,,,,,,,,,0.002426,3.947e-05,0.004812,,,,,,
0.1,0.01,-0.5,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,5,0.0001766,7.044e-05,0.0003411,8.92e-05,1.508e-05,0.0002299,0.00361,0.001462,0.005643,0.007043,0.001527,0.02072,,,
0.1,0.01,-0.5,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,6,0.0001699,6.99e-05,0.0003132,0.000233,5.965e-05,0.0005888,0.005004,0.001733,0.009943,0.008369,0.002504,0.022,-0.07115,-0.635,0.5
0.1,0.01,-0.5,0.2,1,TRUE,SBayesS,,,,0.0001717,6.495e-05,0.0003242,0.0002052,0.000112,0.0003331,0.004712,0.003529,0.006334,0.06875,0.05466,0.08981,-0.02457,-0.1225,0.132
0.1,0.01,-0.5,0.2,1,TRUE,LDSc,,,,,,,,,,0.003789,6.625e-05,0.007511,,,,,,
0.1,0.01,-1,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,8,1.212e-05,-1.819e-06,7.527e-05,1.703e-05,-1.104e-06,4.193e-05,0.001122,0.001,0.001924,0.007845,0.0008703,0.02419,,,
0.1,0.01,-1,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,5,1.185e-05,-1.539e-06,7.09e-05,4.069e-05,1.479e-06,0.0001174,0.001696,0.001,0.003833,0.01046,0.001559,0.02038,0.4126,-1.223,0.5
