p,h2,alpha,K,num,logistic,Method,jump_sign,use_mle,n_keep,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.1,-0.5,0.2,1,TRUE,SBayesS,,,,0.01673,0.01551,0.01792,0.02529,0.02385,0.02678,0.07731,0.07323,0.08123,0.09805,0.07631,0.1184,-0.536,-0.6105,-0.4197
0.1,0.1,-0.5,0.2,1,TRUE,LDSc,,,,,,,,,,0.083,0.07514,0.09087,,,,,,
0.1,0.1,-1,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,20,0.0013,0.0009775,0.001729,0.001476,0.001087,0.001812,0.01204,0.008824,0.01374,0.01096,0.003051,0.02283,,,
0.1,0.1,-1,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,11,0.001254,0.0009199,0.001613,0.001478,0.0008721,0.00218,0.01141,0.007256,0.0161,0.008958,0.003704,0.01632,-0.8826,-1.265,-0.1196
0.1,0.1,-1,0.02,1,FALSE,SBayesS,,,,0.00138,0.001043,0.001784,0.001691,0.001296,0.002142,0.01384,0.0114,0.01652,0.04332,0.03047,0.05568,-1.274,-1.348,-0.9933
0.1,0.1,-1,0.02,1,FALSE,LDSc,,,,,,,,,,0.0121,0.008381,0.01583,,,,,,
0.1,0.1,-1,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,14,0.00129,0.0009679,0.001695,0.01796,0.01351,0.02188,0.1494,0.1116,0.171,0.01088,0.003141,0.02237,,,
0.1,0.1,-1,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,24,0.001307,0.0009825,0.001678,0.01832,0.01128,0.02733,0.1492,0.09467,0.2103,0.01125,0.004195,0.02202,-0.9042,-1.246,-0.1477
0.1,0.1,-1,0.02,1,TRUE,SBayesS,,,,0.001399,0.001051,0.001828,0.02046,0.01601,0.02475,0.1644,0.1353,0.1856,0.05145,0.0412,0.07049,-0.8356,-0.9664,-0.7068
0.1,0.1,-1,0.02,1,TRUE,LDSc,,,,,,,,,,0.1533,0.1063,0.2003,,,,,,
0.1,0.1,-1,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.01498,0.01386,0.01619,0.01442,0.01343,0.01534,0.0464,0.04228,0.04933,0.02275,0.01331,0.03495,,,
0.1,0.1,-1,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.01512,0.01393,0.01634,0.01398,0.01233,0.01567,0.04577,0.03991,0.05185,0.02579,0.01723,0.0366,-1.062,-1.174,-0.9382
0.1,0.1,-1,0.2,1,FALSE,SBayesS,,,,0.01506,0.01388,0.01622,0.01523,0.0143,0.01619,0.04991,0.04746,0.05279,0.1069,0.07943,0.1201,-1.109,-1.197,-1.045
0.1,0.1,-1,0.2,1,FALSE,LDSc,,,,,,,,,,0.04798,0.04203,0.05392,,,,,,
0.1,0.1,-1,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.01492,0.01385,0.01603,0.02238,0.02073,0.02386,0.07191,0.06559,0.07677,0.0217,0.01294,0.03452,,,
0.1,0.1,-1,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.01508,0.01389,0.01642,0.02177,0.01919,0.02461,0.07127,0.0619,0.081,0.02541,0.01644,0.03628,-1.058,-1.177,-0.9279
0.1,0.1,-1,0.2,1,TRUE,SBayesS,,,,0.01506,0.01387,0.01628,0.02367,0.02222,0.02518,0.07797,0.07398,0.0819,0.1058,0.08132,0.1252,-1.15,-1.243,-1.075
0.1,0.1,-1,0.2,1,TRUE,LDSc,,,,,,,,,,0.07481,0.06554,0.08408,,,,,,
0.1,0.3,0,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.009164,0.008256,0.01011,0.0112,0.01021,0.01209,0.03815,0.0331,0.04148,0.01684,0.008505,0.02839,,,
0.1,0.3,0,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.009696,0.008703,0.01073,0.01088,0.009458,0.0124,0.03604,0.03048,0.04165,0.02149,0.01345,0.03107,-0.3931,-0.6428,-0.06304
0.1,0.3,0,0.02,1,FALSE,SBayesS,,,,0.009787,0.008787,0.01084,0.01151,0.01066,0.01236,0.03901,0.03647,0.04184,0.07341,0.05655,0.09401,-0.5395,-0.5997,-0.4457
0.1,0.3,0,0.02,1,FALSE,LDSc,,,,,,,,,,0.04363,0.03835,0.04891,,,,,,
0.1,0.3,0,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.009122,0.008214,0.01008,0.143,0.1308,0.1543,0.4868,0.4249,0.531,0.01624,0.008551,0.02712,,,
0.1,0.3,0,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.009703,0.008747,0.01071,0.1383,0.1198,0.1576,0.4618,0.3933,0.5316,0.02128,0.01315,0.03197,-0.3682,-0.6249,-0.05012
0.1,0.3,0,0.02,1,TRUE,SBayesS,,,,0.009794,0.008819,0.01084,0.148,0.1394,0.1569,0.4934,0.4677,0.5172,0.07945,0.06456,0.09674,-0.3316,-0.4466,-0.1361
0.1,0.3,0,0.02,1,TRUE,LDSc,,,,,,,,,,0.5628,0.4947,0.6308,,,,,,
0.1,0.3,0,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.07769,0.0751,0.08024,0.07945,0.07732,0.08158,0.1454,0.1395,0.1507,0.03069,0.02321,0.0399,,,
0.1,0.3,0,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.08056,0.07793,0.0831,0.07781,0.07468,0.08083,0.1405,0.1332,0.1477,0.04348,0.03464,0.05288,-0.1654,-0.3013,-0.0189
0.1,0.3,0,0.2,1,FALSE,SBayesS,,,,0.08157,0.07925,0.08411,0.08086,0.0786,0.08286,0.146,0.1422,0.1495,0.1002,0.08758,0.1113,-0.06094,-0.1716,0.02714
0.1,0.3,0,0.2,1,FALSE,LDSc,,,,,,,,,,0.1597,0.1495,0.1699,,,,,,
0.1,0.3,0,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.07769,0.07514,0.07996,0.1239,0.1204,0.1274,0.2266,0.2174,0.2349,0.03045,0.02276,0.03968,,,
0.1,0.3,0,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.08054,0.07805,0.0832,0.1211,0.1164,0.126,0.219,0.2075,0.2307,0.04323,0.03383,0.05393,-0.1687,-0.3075,-0.02214
0.1,0.3,0,0.2,1,TRUE,SBayesS,,,,0.08158,0.07911,0.08405,0.1258,0.1228,0.129,0.2278,0.2225,0.233,0.1019,0.08891,0.1108,-0.06092,-0.1983,0.03083
0.1,0.3,0,0.2,1,TRUE,LDSc,,,,,,,,,,0.2492,0.2333,0.2651,,,,,,
0.1,0.3,-0.5,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.009241,0.008358,0.01026,0.008524,0.007719,0.00926,0.03355,0.02968,0.03607,0.02025,0.01035,0.03231,,,
0.1,0.3,-0.5,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.009477,0.008478,0.01047,0.008345,0.007036,0.009786,0.03187,0.02659,0.03744,0.02203,0.01335,0.03206,-0.5627,-0.809,-0.2691
0.1,0.3,-0.5,0.02,1,FALSE,SBayesS,,,,0.009664,0.008748,0.01066,0.009295,0.008614,0.01011,0.03511,0.03265,0.0378,0.08228,0.06123,0.1009,-0.6107,-0.8154,-0.5231
0.1,0.3,-0.5,0.02,1,FALSE,LDSc,,,,,,,,,,0.03626,0.03167,0.04085,,,,,,
0.1,0.3,-0.5,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.009228,0.008366,0.01018,0.1099,0.09971,0.1189,0.4331,0.384,0.4658,0.01984,0.01039,0.03216,,,
0.1,0.3,-0.5,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.009487,0.00857,0.01049,0.1081,0.09245,0.1255,0.413,0.3444,0.4837,0.02216,0.0138,0.03387,-0.5444,-0.7896,-0.2419
0.1,0.3,-0.5,0.02,1,TRUE,SBayesS,,,,0.009649,0.008668,0.01067,0.12,0.1122,0.129,0.4427,0.419,0.4647,0.08864,0.06671,0.1016,-0.3902,-0.4485,-0.2338
0.1,0.3,-0.5,0.02,1,TRUE,LDSc,,,,,,,,,,0.4714,0.4118,0.531,,,,,,
0.1,0.3,-0.5,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.07596,0.07361,0.07849,0.07621,0.07409,0.07832,0.1429,0.1373,0.148,0.03288,0.02487,0.04275,,,
0.1,0.3,-0.5,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.0774,0.07493,0.07977,0.07406,0.07098,0.07732,0.1388,0.1315,0.1461,0.04383,0.0353,0.05362,-0.5102,-0.6124,-0.3997
0.1,0.3,-0.5,0.2,1,FALSE,SBayesS,,,,0.07758,0.0752,0.08008,0.07733,0.07541,0.07942,0.1445,0.1408,0.1482,0.1145,0.09658,0.1249,-0.4718,-0.5644,-0.4128
0.1,0.3,-0.5,0.2,1,FALSE,LDSc,,,,,,,,,,0.1487,0.1395,0.158,,,,,,
0.1,0.3,-0.5,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.07598,0.07342,0.07857,0.1196,0.1162,0.1229,0.2246,0.2157,0.2325,0.03321,0.02512,0.04305,,,
0.1,0.3,-0.5,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.07739,0.07483,0.07986,0.1165,0.1116,0.1214,0.2179,0.2062,0.2295,0.04373,0.03491,0.05327,-0.512,-0.6118,-0.4011
0.1,0.3,-0.5,0.2,1,TRUE,SBayesS,,,,0.07759,0.07536,0.08016,0.1211,0.1181,0.1245,0.2268,0.2207,0.2326,0.1193,0.09867,0.1296,-0.4711,-0.5404,-0.4197
0.1,0.3,-0.5,0.2,1,TRUE,LDSc,,,,,,,,,,0.2337,0.2191,0.2482,,,,,,
0.1,0.3,-1,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.008786,0.007924,0.009752,0.008953,0.008168,0.009689,0.03384,0.0299,0.03663,0.0179,0.009551,0.02926,,,
0.1,0.3,-1,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.008949,0.008016,0.009894,0.008578,0.007211,0.009968,0.03275,0.02713,0.03848,0.02036,0.01192,0.03255,-0.9271,-1.085,-0.7471
0.1,0.3,-1,0.02,1,FALSE,SBayesS,,,,0.009204,0.008304,0.01017,0.009226,0.008407,0.01016,0.03538,0.03258,0.03846,0.07397,0.05353,0.09056,-0.9223,-1.043,-0.7809
0.1,0.3,-1,0.02,1,FALSE,LDSc,,,,,,,,,,0.03662,0.03228,0.04097,,,,,,
0.1,0.3,-1,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.008822,0.007843,0.00977,0.1151,0.1043,0.125,0.4364,0.387,0.4733,0.01754,0.009636,0.02956,,,
0.1,0.3,-1,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.009,0.008031,0.009917,0.1107,0.09459,0.1291,0.4243,0.3534,0.4965,0.02088,0.01251,0.03209,-0.9001,-1.062,-0.7069
0.1,0.3,-1,0.02,1,TRUE,SBayesS,,,,0.009274,0.008363,0.01031,0.1197,0.1113,0.1284,0.459,0.4345,0.4823,0.07739,0.05446,0.09409,-0.9433,-1.03,-0.8645
0.1,0.3,-1,0.02,1,TRUE,LDSc,,,,,,,,,,0.4763,0.4199,0.5327,,,,,,
0.1,0.3,-1,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.07428,0.07177,0.07672,0.07473,0.07271,0.07666,0.1429,0.1378,0.1475,0.03674,0.02802,0.04756,,,
0.1,0.3,-1,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.0749,0.07243,0.07731,0.0726,0.0694,0.0759,0.1403,0.1328,0.1479,0.04401,0.03526,0.05414,-0.9273,-1,-0.8508
0.1,0.3,-1,0.2,1,FALSE,SBayesS,,,,0.07506,0.07251,0.07754,0.07589,0.07401,0.07804,0.147,0.1434,0.1507,0.1016,0.09327,0.1122,-0.9538,-1.009,-0.886
0.1,0.3,-1,0.2,1,FALSE,LDSc,,,,,,,,,,0.1393,0.1302,0.1485,,,,,,
0.1,0.3,-1,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.07427,0.07177,0.07666,0.117,0.1139,0.1202,0.2239,0.2159,0.2313,0.0368,0.02791,0.0478,,,
0.1,0.3,-1,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.07487,0.07242,0.07722,0.1139,0.109,0.1191,0.2198,0.2078,0.2319,0.04371,0.03505,0.05359,-0.9295,-1,-0.8532
0.1,0.3,-1,0.2,1,TRUE,SBayesS,,,,0.07509,0.07249,0.07766,0.1188,0.1155,0.122,0.2302,0.2243,0.236,0.1025,0.09564,0.1159,-0.9402,-1.007,-0.8815
0.1,0.3,-1,0.2,1,TRUE,LDSc,,,,,,,,,,0.2184,0.2041,0.2328,,,,,,
0.02,0.01,0,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,5,6.733e-05,9.058e-06,0.0001653,1.951e-05,-4.418e-07,5.075e-05,0.001209,0.001,0.002218,0.005391,0.000851,0.01823,,,
0.02,0.01,0,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,4,6.92e-05,8.026e-06,0.0001887,4.233e-05,1.388e-06,0.0001504,0.001719,0.001,0.003882,0.009277,0.003443,0.01805,0.4115,-0.138,0.5
0.02,0.01,0,0.02,1,FALSE,SBayesS,,,,3.649e-05,2.038e-06,0.0001294,2.882e-05,3.216e-06,6.508e-05,0.001385,0.001092,0.002273,0.05395,0.04307,0.0678,-0.3216,-0.4464,-0.2399
0.02,0.01,0,0.02,1,FALSE,LDSc,,,,,,,,,,0.001176,-0.001432,0.003785,,,,,,
0.02,0.01,0,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,7,7.041e-05,8.901e-06,0.0001828,1.581e-06,-1.956e-05,2.337e-05,0.001212,0.001,0.002518,0.006035,0.0009135,0.01908,,,
0.02,0.01,0,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,5,6.991e-05,9.962e-06,0.000181,0.0002488,-2.022e-05,0.0009094,0.01577,0.005551,0.03703,0.01396,0.005124,0.02681,-0.292,-1.022,0.5
0.02,0.01,0,0.02,1,TRUE,SBayesS,,,,3.077e-05,2.13e-07,0.0001087,0.0003077,1.531e-05,0.0006436,0.01629,0.01361,0.02171,0.05693,0.04586,0.07321,-0.4256,-0.5146,-0.121
0.02,0.01,0,0.02,1,TRUE,LDSc,,,,,,,,,,0.01515,-0.01769,0.048,,,,,,
0.02,0.01,0,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,29,0.0003077,0.0001527,0.0004959,0.0003155,0.0001934,0.0004596,0.005188,0.003784,0.006514,0.01086,0.003324,0.02235,,,
0.02,0.01,0,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,14,0.0003471,0.0001862,0.0005402,0.0002915,0.0001145,0.0005742,0.004802,0.002416,0.008083,0.01288,0.004524,0.02161,-0.6215,-1.318,0.4269
0.02,0.01,0,0.2,1,FALSE,SBayesS,,,,0.000306,0.0001634,0.0004957,0.0003755,0.0002585,0.0005469,0.005227,0.004224,0.006949,0.05587,0.04495,0.06779,-0.1283,-0.4891,0.102
0.02,0.01,0,0.2,1,FALSE,LDSc,,,,,,,,,,0.005693,0.002708,0.008678,,,,,,
0.02,0.01,0,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,24,0.0003118,0.0001723,0.0005048,0.0005046,0.0003225,0.0007151,0.008212,0.006189,0.01019,0.01187,0.004257,0.02346,,,
0.02,0.01,0,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,16,0.0003509,0.000198,0.0005575,0.0005076,0.0002062,0.0009875,0.007899,0.003966,0.0129,0.01401,0.005737,0.02378,-0.6539,-1.201,0.4228
0.02,0.01,0,0.2,1,TRUE,SBayesS,,,,0.0002884,0.0001441,0.0004802,0.0005828,0.0003978,0.0008503,0.008677,0.006959,0.01177,0.04632,0.03688,0.05928,-0.907,-0.9768,-0.629
0.02,0.01,0,0.2,1,TRUE,LDSc,,,,,,,,,,0.008876,0.004225,0.01353,,,,,,
0.02,0.01,-0.5,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,8,4.555e-05,3.348e-06,0.0001399,1.454e-05,-2.475e-06,3.66e-05,0.001078,0.001,0.001742,0.006324,0.0008995,0.01829,,,
0.02,0.01,-0.5,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,4,4.978e-05,4.46e-06,0.0001432,3.205e-05,2.714e-07,0.0001017,0.001536,0.001,0.0033,0.009601,0.001592,0.02502,0.4282,-0.4896,0.5
0.02,0.01,-0.5,0.02,1,FALSE,SBayesS,,,,1.831e-05,-6.512e-08,7.68e-05,1.764e-05,-2.392e-06,4.069e-05,0.001131,0.0008571,0.00147,0.05524,0.04434,0.0695,-0.1313,-0.2561,0.05655
0.02,0.01,-0.5,0.02,1,FALSE,LDSc,,,,,,,,,,0.00123,-0.00124,0.003699,,,,,,
0.02,0.01,-0.5,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,5,4.477e-05,2.973e-06,0.0001293,2.116e-06,-2.368e-05,3.273e-05,0.001363,0.001,0.006341,0.007905,0.00158,0.02024,,,
0.02,0.01,-0.5,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,6,4.957e-05,4.859e-06,0.0001442,0.000169,-4.186e-05,0.0008111,0.01295,0.003578,0.03461,0.01163,0.004314,0.0293,-0.2012,-1.45,0.5
0.02,0.01,-0.5,0.02,1,TRUE,SBayesS,,,,2.873e-05,1.862e-07,9.792e-05,0.0002872,-4.85e-06,0.0006745,0.01718,0.01223,0.0245,0.05505,0.04401,0.06707,-0.5464,-0.6455,-0.3701
0.02,0.01,-0.5,0.02,1,TRUE,LDSc,,,,,,,,,,0.01601,-0.01543,0.04745,,,,,,
0.02,0.01,-0.5,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,5,0.0001885,7.522e-05,0.0003413,0.0002816,0.0001351,0.0004399,0.004878,0.002679,0.006532,0.006783,0.001126,0.01587,,,
0.02,0.01,-0.5,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,12,0.0001904,7.737e-05,0.0003555,0.000341,0.000103,0.0006719,0.00475,0.001861,0.008153,0.008237,0.001732,0.01922,0.2392,-0.4815,0.5
0.02,0.01,-0.5,0.2,1,FALSE,SBayesS,,,,0.0001663,6.081e-05,0.0003169,0.0003508,0.0002291,0.0005229,0.005069,0.004136,0.007354,0.0456,0.03544,0.05787,-0.3896,-0.6036,-0.2605
0.02,0.01,-0.5,0.2,1,FALSE,LDSc,,,,,,,,,,0.006219,0.003419,0.009019,,,,,,
0.02,0.01,-0.5,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,8,0.0001884,8.044e-05,0.0003581,0.0004292,0.0001698,0.0006613,0.007587,0.003452,0.009624,0.006673,0.0008886,0.01775,,,
0.02,0.01,-0.5,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,10,0.0001916,7.84e-05,0.0003611,0.0005328,0.0001912,0.001062,0.00761,0.002891,0.01318,0.008443,0.00176,0.02194,0.2412,-0.816,0.5
0.02,0.01,-0.5,0.2,1,TRUE,SBayesS,,,,0.0001721,5.884e-05,0.0003268,0.0005848,0.0003898,0.000869,0.008288,0.006848,0.01142,0.04811,0.03805,0.06026,-0.3958,-0.5515,-0.2751
0.02,0.01,-0.5,0.2,1,TRUE,LDSc,,,,,,,,,,0.009742,0.005359,0.01413,,,,,,
0.02,0.01,-1,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,7,2.6e-05,1.793e-07,0.0001031,3.088e-05,5.741e-06,7.441e-05,0.001406,0.001,0.002421,0.005399,0.0006975,0.01478,,,
0.02,0.01,-1,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,3,3.198e-05,5.162e-07,0.0001128,5.368e-05,1.158e-05,0.0001545,0.001846,0.001,0.0038,0.01469,0.002599,0.0288,0.447,0.1766,0.5
0.02,0.01,-1,0.02,1,FALSE,SBayesS,,,,2.796e-05,7.912e-08,0.0001079,3.489e-05,6.294e-06,8.811e-05,0.001356,0.0009994,0.00277,0.04479,0.03514,0.05506,-0.4327,-0.519,-0.2798
0.02,0.01,-1,0.02,1,FALSE,LDSc,,,,,,,,,,0.002002,-0.0009376,0.004942,,,,,,
0.02,0.01,-1,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,3,2.601e-05,1.02e-09,0.0001082,9.561e-05,-4.251e-05,0.0006536,0.01316,0.001503,0.0246,0.009357,0.001035,0.02623,,,
0.02,0.01,-1,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,5,3.034e-05,1.876e-07,0.0001109,0.0003491,8.088e-06,0.001096,0.01652,0.003978,0.0365,0.01087,0.0026,0.02571,-0.3141,-1.343,0.5
0.02,0.01,-1,0.02,1,TRUE,SBayesS,,,,2.356e-05,-1.338e-07,0.0001053,0.0004001,6.948e-05,0.0009597,0.01656,0.01157,0.02947,0.05073,0.0404,0.0602,-0.238,-0.3355,-0.1613
0.02,0.01,-1,0.02,1,TRUE,LDSc,,,,,,,,,,0.02548,-0.01156,0.06252,,,,,,
0.02,0.01,-1,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,6,0.0003421,0.0001824,0.0005494,0.0001459,6.565e-05,0.0002483,0.003467,0.002128,0.004683,0.006932,0.001615,0.0154,,,
0.02,0.01,-1,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,6,0.0003066,0.0001502,0.0004927,0.000218,5.585e-05,0.0004473,0.003926,0.001603,0.006971,0.01133,0.002452,0.02386,-0.01218,-0.7521,0.5
0.02,0.01,-1,0.2,1,FALSE,SBayesS,,,,0.00028,0.0001425,0.0004745,0.0001957,0.000106,0.0003387,0.003897,0.002887,0.005714,0.04862,0.03827,0.0594,-0.5658,-0.7184,-0.4296
0.02,0.01,-1,0.2,1,FALSE,LDSc,,,,,,,,,,0.003569,0.001125,0.006013,,,,,,
0.02,0.01,-1,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,7,0.0003414,0.0001882,0.0005445,0.0001904,6.165e-05,0.0003488,0.004999,0.002387,0.006996,0.007149,0.0008128,0.0177,,,
0.02,0.01,-1,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,6,0.0003129,0.0001546,0.000525,0.0002889,7.679e-05,0.0007089,0.005992,0.001883,0.01035,0.01011,0.001645,0.0224,-0.1486,-1.229,0.5
0.02,0.01,-1,0.2,1,TRUE,SBayesS,,,,0.0002806,0.0001345,0.0004735,0.0003568,0.0002013,0.0005722,0.006666,0.004685,0.009248,0.0512,0.04212,0.06243,-0.669,-0.8085,-0.3505
0.02,0.01,-1,0.2,1,TRUE,LDSc,,,,,,,,,,0.005615,0.001774,0.009456,,,,,,
0.02,0.03,0,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,35,0.0002554,0.000126,0.0004438,0.0002753,0.0001596,0.000411,0.004836,0.003365,0.006107,0.01065,0.002988,0.02292,,,
0.02,0.03,0,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,15,0.0002799,0.0001437,0.0004468,0.0002546,9.469e-05,0.0004854,0.004474,0.001985,0.007779,0.01083,0.003973,0.02053,-0.5323,-1.424,0.4694
0.02,0.03,0,0.02,1,FALSE,SBayesS,,,,0.0002831,0.000152,0.00048,0.0002934,0.0001814,0.000485,0.004519,0.003678,0.007005,0.05316,0.04219,0.07191,-0.334,-0.5139,-0.2289
0.02,0.03,0,0.02,1,FALSE,LDSc,,,,,,,,,,0.004953,0.002564,0.007342,,,,,,
0.02,0.03,0,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,26,0.000258,0.0001242,0.0004344,0.003388,0.002001,0.004993,0.06014,0.04132,0.07676,0.011,0.002776,0.02258,,,
0.02,0.03,0,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,14,0.0002851,0.0001468,0.0004819,0.003307,0.001319,0.006618,0.05615,0.02704,0.09927,0.01178,0.003741,0.02291,-0.3833,-1.297,0.4986
0.02,0.03,0,0.02,1,TRUE,SBayesS,,,,0.0002851,0.0001433,0.0004686,0.003441,0.002124,0.005256,0.05504,0.04311,0.0719,0.0584,0.04637,0.07717,-0.1874,-0.3686,-0.03173
0.02,0.03,0,0.02,1,TRUE,LDSc,,,,,,,,,,0.06341,0.03301,0.0938,,,,,,
0.02,0.03,0,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,9,0.002452,0.001984,0.002967,0.002038,0.001644,0.002423,0.0133,0.009242,0.01544,0.00729,0.002203,0.0193,,,
0.02,0.03,0,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,31,0.002648,0.002191,0.003181,0.002153,0.001488,0.002892,0.01258,0.008539,0.01654,0.01084,0.004105,0.02122,0.2886,-0.2704,0.5
0.02,0.03,0,0.2,1,FALSE,SBayesS,,,,0.002713,0.002181,0.003221,0.002226,0.001831,0.002753,0.0135,0.01153,0.016,0.04451,0.03608,0.057,0.4379,0.0825,0.605
0.02,0.03,0,0.2,1,FALSE,LDSc,,,,,,,,,,0.01433,0.01072,0.01794,,,,,,
0.02,0.03,0,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,8,0.002468,0.001989,0.002983,0.003169,0.002536,0.003795,0.02062,0.01531,0.02447,0.007334,0.002588,0.02002,,,
0.02,0.03,0,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,28,0.00263,0.002158,0.003172,0.003365,0.002431,0.004585,0.01922,0.0132,0.02584,0.01012,0.003862,0.01957,0.3099,-0.2412,0.5
0.02,0.03,0,0.2,1,TRUE,SBayesS,,,,0.002707,0.002201,0.003225,0.003465,0.002849,0.004169,0.02169,0.01836,0.02479,0.04237,0.03451,0.05252,-0.007448,-0.1738,0.126
0.02,0.03,0,0.2,1,TRUE,LDSc,,,,,,,,,,0.02228,0.01667,0.0279,,,,,,
0.02,0.03,-0.5,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,5,0.000118,3.232e-05,0.0002654,2.859e-05,3.553e-06,6.974e-05,0.001516,0.001,0.002422,0.005906,0.001126,0.01997,,,
0.02,0.03,-0.5,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,10,9.43e-05,2.133e-05,0.0002143,8.516e-05,1.693e-05,0.0002397,0.002441,0.001,0.005056,0.01022,0.002821,0.02209,0.3752,-0.7068,0.5
0.02,0.03,-0.5,0.02,1,FALSE,SBayesS,,,,7.561e-05,1.395e-05,0.0002003,0.0001048,5.099e-05,0.0001834,0.00284,0.002105,0.004035,0.05238,0.04142,0.0643,-0.4568,-0.5693,-0.2682
0.02,0.03,-0.5,0.02,1,FALSE,LDSc,,,,,,,,,,0.002846,0.000264,0.005428,,,,,,
0.02,0.03,-0.5,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,4,0.0001211,3.893e-05,0.0002525,3.162e-05,-4.847e-05,0.0001802,0.005633,0.002068,0.01762,0.008428,0.002569,0.02649,,,
